TXN,FROM,TO,AMOUNT,TIME
333,175,1286,0.15,2011-04-27-02-27-22
334,687594,566332,0.001,2011-06-21-14-21-39
335,31117,861809,0.5,2011-05-08-06-34-54
336,804426,23,0.74,2011-06-16-19-41-45
337,77507,237660,0.24318667,2011-06-14-03-05-55
338,694046,3080,1.06,2011-06-28-15-58-45
339,634321,196848,24.19,2011-05-18-19-01-32
340,12696,12696,5.0,2011-04-06-01-29-29
341,136716,2386,0.16,2011-06-20-08-06-03
342,450925,639837,80.1,2011-02-27-16-40-08
343,26995,62406,171.48,2011-03-28-20-33-09
344,173680,9940,0.52,2011-06-17-00-53-15
345,175,222156,1.45,2011-04-01-04-29-40
346,22125,111660,1.02,2011-06-29-17-09-21
347,2,5543,0.65,2011-03-31-20-05-32
348,175,855831,0.01,2011-07-04-17-20-04
349,643897,713569,42.52,2011-05-01-18-29-35
350,636006,521976,0.27,2011-06-08-15-02-03
351,240393,1542,0.13,2011-04-14-14-44-16
352,363603,684651,10.03,2011-06-11-07-55-29
353,878743,444558,31.26,2011-07-02-15-25-50
354,390099,384616,175.08769644,2011-06-13-14-11-06
355,494616,41956,2.8,2011-04-10-12-39-47
356,563158,74751,0.05,2011-06-08-11-57-06
357,5171,10693,9.0,2011-05-08-21-43-55
358,266643,825669,13.6155,2011-06-23-13-53-52
359,161619,40310,0.01,2011-06-11-02-11-56
360,110788,1496,9.37,2011-03-09-08-17-28
361,155237,708575,0.58,2011-04-23-00-27-55
362,3590,78575,10.0,2011-07-07-10-42-50
363,722019,505960,0.42,2011-06-12-17-18-42
364,790537,406514,0.02,2011-05-30-01-56-04
365,791028,535184,3.2e-07,2011-07-10-02-33-19
366,855775,827769,50.04559108,2011-06-10-11-05-39
367,65145,37708,150.9,2011-03-30-18-11-25
368,656881,53990,0.01,2010-06-29-16-34-14
369,373209,13140,18.15,2011-06-13-02-36-31
370,341408,369917,10.0,2011-06-27-10-55-28
371,39637,46540,11.6,2011-03-28-17-32-17
372,322618,415231,32.87,2011-04-16-01-29-50
373,644090,3487,0.44730141,2011-06-29-16-30-18
374,9454,744,0.17930491,2011-07-04-10-37-56
375,837605,545890,0.35,2011-07-07-03-38-27
376,225818,11467,0.5,2011-07-12-22-10-27
377,175,7715,0.03,2011-05-18-19-22-45
378,782050,823140,100.89,2011-05-26-16-36-46
379,68969,864337,100.0,2010-10-11-00-52-14
380,313769,270097,73.36099055,2011-06-13-03-39-03
381,349821,534919,0.1319748,2011-06-18-17-35-02
382,660284,304228,109.11,2011-01-04-13-42-25
383,286487,353038,53.60040691,2011-05-29-18-15-00
384,31625,1901,0.01,2011-06-07-01-54-19
385,99936,32622,0.03,2011-04-01-08-42-46
386,16495,22002,0.0195,2011-06-18-04-03-46
387,531141,45109,0.6,2011-06-22-03-29-40
388,624978,868010,42.755,2011-07-05-12-06-43
389,912292,23116,0.17,2011-06-23-23-50-34
390,589827,216099,4.1,2011-03-04-13-47-15
391,45080,374994,0.25,2011-06-15-00-15-07
392,919387,240110,40.09,2011-04-09-02-55-28
393,2,2,0.25,2011-03-06-06-55-17
394,35130,72280,0.0195,2011-06-19-17-30-16
395,142435,774678,0.01,2011-06-30-10-51-53
396,751677,489714,92.27,2011-06-17-23-20-24
397,133255,331308,0.08,2010-11-28-22-23-48
398,886681,79098,0.13,2011-06-03-13-35-30
399,126357,310288,329.10649248,2011-06-27-05-07-05
400,175,79535,2.01,2011-05-13-21-16-45
401,73396,72384,9.19,2011-05-10-21-30-20
402,640348,299504,2.397,2011-06-15-16-22-11
403,708568,839626,0.02,2011-05-25-10-40-11
404,77608,48566,0.03072773,2011-06-05-13-28-53
405,23,86273,0.6,2011-06-12-19-56-46
406,531384,878185,0.17,2011-04-25-20-29-32
407,42629,83766,0.38091283,2011-07-09-15-28-24
408,387892,535118,0.182,2011-06-08-03-17-13
409,794236,21630,1.01,2011-01-29-22-15-35
410,500065,672995,44.6,2011-05-19-19-06-17
411,405339,472327,47.51,2011-02-15-18-02-06
412,45520,2,0.1,2011-03-03-13-38-07
413,25879,27977,6.2,2011-03-23-18-59-11
414,45520,2,0.9,2011-03-03-13-38-07
415,321039,672186,2.6e-07,2011-07-07-11-01-31
416,175,17521,0.11,2011-06-24-21-36-42
417,526380,465164,43.7,2011-02-01-23-10-08
418,321039,672196,2.6e-07,2011-07-07-11-01-31
419,45479,6691,1.99,2011-06-19-12-52-21
420,737225,417525,0.1676,2011-05-30-05-24-15
421,552739,29822,0.58,2011-06-09-19-39-21
422,86229,31902,0.056,2011-06-26-00-20-29
423,532119,43529,4.34,2011-05-08-21-32-27
424,395340,74950,1.0,2011-06-15-11-47-04
425,709377,33680,0.1,2010-08-03-19-40-18
426,632502,46463,0.03,2011-04-27-09-20-55
427,807095,59124,0.08642338,2011-06-19-17-50-53
428,175,31872,1.19,2011-05-16-12-07-36
429,510781,545596,211.30156639,2011-06-15-13-14-12
430,414,414,0.019,2011-06-21-13-23-59
431,175,7402,1.04,2011-05-05-18-14-26
432,110851,328881,0.02,2011-05-19-16-45-51
433,633423,1160,3.09,2011-06-06-11-05-27
434,175099,551610,22.5067089,2011-07-12-06-39-04
435,572688,511738,2.48143698,2011-07-09-20-07-45
436,699883,1295,4.4,2011-05-10-11-15-16
437,36430,10038,0.01094118,2011-05-31-20-45-26
438,290677,851170,17.5615006,2011-06-22-02-56-50
439,858729,497724,950.61,2011-03-18-21-50-46
440,264851,608761,295.4847983,2011-06-16-22-37-45
441,263106,18674,50.0,2010-08-23-16-12-41
442,56,59,0.12,2011-06-17-09-48-42
443,82636,55573,0.01,2011-06-14-08-20-25
444,839556,780140,0.48,2010-10-22-10-04-48
445,872,9517,25.0,2011-06-11-01-39-45
450,4872,3517,26.0,2011-06-11-01-53-26
450,4872,3517,26.0,2011-06-11-01-53-26
450,4872,3517,26.0,2011-06-11-01-53-26
